Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
117,565,V,RhodeIsland,27,29,56,130,132,100,69.5
117,566,H,Massachusetts,28,32,60,1,1,-120,0.5
117,567,V,IndianaState,39,39,78,4.5,3,-155,2.5
117,568,H,Drake,40,44,84,NL,125,135,69.5
117,569,V,WiscGreenBay,27,43,70,5,5,-220,4.5
117,570,H,DetroitU,30,34,64,NL,133,185,70.5
117,571,V,MiamiOhio,32,36,68,NL,145,805,74.5
117,572,H,Buffalo,29,48,77,15,13.5,-1155,9.5
117,573,V,Baylor,33,28,61,1,119,110,64.5
117,574,H,KansasState,24,39,63,120,1.5,-130,3
117,575,V,UTEP,30,43,73,7,9,-470,4.5
117,576,H,TexSanAntonio,26,29,55,NL,134.5,370,70
117,577,V,GeorgiaState,40,29,69,10.5,11.5,-725,4
117,578,H,AppalachianSt,30,44,74,NL,135.5,550,72.5
117,579,V,GeorgiaTech,31,34,65,NL,121,225,66
117,580,H,Pittsburgh,31,39,70,6,6,-275,4
117,581,V,Syracuse,18,35,53,1,1.5,-125,4
117,582,H,Clemson,39,27,66,NL,120.5,105,66
117,583,V,Drexel,35,31,66,NL,125,160,67.5
117,584,H,Delaware,23,39,62,2.5,4,-185,5
117,585,V,MichiganState,26,33,59,131,131.5,115,2
117,586,H,Maryland,40,35,75,3,2,-135,70.5
117,587,V,TCU,24,38,62,3,2.5,-145,65
117,588,H,TexasTech,14,28,42,120,125.5,125,1.5
117,589,V,EastCarolina,22,32,54,NL,124,2000,65.5
117,590,H,SMU,34,43,77,19,18.5,-4000,8
117,591,V,BallState,27,19,46,NL,122.5,375,64.5
117,592,H,BowlingGreen,23,35,58,10,9,-500,7
117,593,V,Vanderbilt,26,28,54,4,4,-180,0.5
117,594,H,MississippiSt,18,39,57,122,122.5,155,65
117,595,V,Kentucky,35,35,70,8.5,9.5,-545,2.5
117,596,H,Alabama,17,31,48,120.5,119.5,420,63.5
117,597,V,MiddleTennSt,35,33,68,127,126.5,570,70.5
117,598,H,LouisianaTech,35,40,75,12,11.5,-745,6.5
117,599,V,Gonzaga,38,34,72,19.5,19.5,-4750,8.5
117,600,H,LoyolaMarymount,27,28,55,NL,136,2375,71.5
117,601,V,GeorgeMason,20,33,53,128,126.5,575,66.5
117,602,H,GeoWashington,26,37,63,11.5,11.5,-800,5
117,603,V,Columbia,27,21,48,2.5,2,-140,NL
117,604,H,Cornell,17,28,45,NL,NL,120,1.5
