Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H,,,,
306,307217,V,SELouisiana,29,40,76,148.5,150.5,300,77.5,,,,
306,307218,H,NewOrleansU,32,37,81,9,7,-360,4,,,,
306,307219,V,Southern,35,39,74,143.5,145,220,76.5,,,,
306,307220,H,TexasSouthern,39,41,80,6,6,-260,2.5,,,,
306,307221,V,LoyolaMaryland,40,36,76,133.5,132.5,155,70.5,,,,
306,307222,H,Navy,28,40,68,4.5,3.5,-175,5,,,,
306,307223,V,BostonU,26,43,69,147.5,148.5,600,77,,,,
306,307224,H,Colgate,34,43,77,13,12,-900,5,,,,
306,307225,V,Bucknell,46,46,92,152.5,149.5,140,79.5,,,,
306,307226,H,Lafayette,37,47,84,3.5,3,-160,4.5,,,,
306,307227,V,American,29,37,66,150.5,134.5,175,2.5,,,,
306,307228,H,Army,47,42,89,8,5,-200,72,,,,
306,307229,V,SacredHeart,28,27,55,123.5,153.5,260,79.5,,,,
306,307230,H,Bryant,39,46,85,2.5,7,-310,0.5,,,,
306,307231,V,MountStMarys,35,31,66,137.5,122.5,175,68,,,,
306,307232,H,Wagner,31,29,60,6,4.5,-200,5,,,,
306,307233,V,UMassLowell,28,51,79,137.5,139,200,0.5,,,,
306,307234,H,MDBaltimoreCo,40,37,77,6,5.5,-240,75,,,,
306,307235,V,Hartford,33,38,71,131.5,132,375,70.5,,,,
306,307236,H,Vermont,32,33,65,8.5,9,-450,6,,,,
306,307237,V,MorganState,36,39,75,13.5,14,-1100,8.5,,,,
306,307238,H,DelawareState,32,50,82,157,157,700,81.5,,,,
307,729,V,Florida,33,21,54,136,136,210,71.5,,,,
307,730,H,Tennessee,28,37,65,4.5,6,-250,5,,,,
307,731,V,MemphisU,35,29,64,132.5,135.5,450,73.5,,,,
307,732,H,HoustonU,39,28,67,9.5,10,-600,5.5,,,,
307,733,V,Wisconsin,26,47,73,144,142.5,260,74.5,,,,
307,734,H,Iowa,35,42,77,5.5,7.5,-310,2,,,,
307,735,V,Cincinnati,37,45,82,1.5,2,-135,0.5,,,,
307,736,H,EastCarolina,35,34,69,138,139,115,74.5,,,,
307,737,V,Nebraska,30,48,78,137,140.5,250,74,,,,
307,738,H,Northwestern,39,40,79,7.5,7,-300,1.5,,,,
307,741,V,TexasTech,32,41,73,140,137.5,320,72,,,,
307,742,H,Baylor,34,54,88,8,8,-380,4.5,,,,
307,743,V,Michigan,26,38,64,8.5,8,-360,6,,,,
307,744,H,MichiganState,30,40,70,136.5,138,300,73,,,,
307,745,V,PennState,23,43,66,136.5,136,200,71,,,,
307,746,H,Maryland,33,28,61,5,5.5,-240,0.5,,,,
307,747,V,Texas,33,43,76,7.5,7.5,-330,4,,,,
307,748,H,TCU,29,35,64,140.5,136.5,270,71.5,,,,
307,749,V,Oregon,44,36,80,5.5,5.5,-240,72.5,,,,
307,750,H,OregonState,31,36,67,136.5,136.5,200,0.5,,,,
307,751,N,Delaware,38,37,75,137.5,138.5,140,74.5,,,,
307,752,N,Hofstra,36,47,83,3.5,3.5,-160,3,,,,
307,753,N,Elon,29,43,72,141.5,141.5,160,0.5,,,,
307,754,N,JamesMadison,39,32,71,4,4,-180,75.5,,,,
307,755,N,William&Mary,28,19,47,134.5,135,270,70,,,,
307,756,N,Northeastern,25,38,63,6.5,7,-330,5,,,,
307,757,N,Drexel,41,39,80,4.5,4.5,-200,69.5,,,,
307,758,N,CollCharleston,29,46,75,130.5,130.5,175,1,,,,
307,759,N,Drake,31,34,65,128,124.5,330,67,,,,
307,760,N,LoyolaChicago,36,39,75,7,8.5,-400,4,,,,
307,761,N,ETennesseeSt,39,26,65,131,130.5,150,71.5,,,,
307,762,N,NCGreensboro,40,37,77,2.5,3.5,-170,2.5,,,,
307,763,N,Mercer,33,40,73,2,1.5,-130,78,,,,
307,764,N,VMI,26,33,59,153,152,110,1.5,,,,
307,765,N,ULLafayette,35,38,73,150,151,170,1.5,,,,
307,766,N,GeorgiaState,52,32,84,4.5,4.5,-190,82.5,,,,
307,767,N,AppalachianSt,20,31,64,138.5,136.5,180,70.5,,,,
307,768,N,CoastalCarolina,29,22,61,4.5,5,-210,0.5,,,,
307,769,N,NorthDakota,29,36,65,152.5,153.5,260,82,,,,
307,770,N,OralRoberts,39,37,76,7,7.5,-310,2,,,,
307,771,N,UMKC,22,43,65,119,119.5,175,1.5,,,,
307,772,N,NorthDakotaState,38,31,69,6,4,-200,64.5,,,,
307,307003,V,Campbell,26,27,53,143,140.5,525,74,,,,
307,307004,H,Winthrop,32,48,80,11,11.5,-750,5,,,,
307,307005,N,NorthAlabama,31,44,75,134,132.5,750,72,,,,
307,307006,N,Liberty,41,38,79,14,13,-1200,5,,,,
308,779,N,Elon,33,43,76,139,140,220,75,,,,
308,780,N,Hofstra,34,24,58,4,6.5,-260,4,,,,
308,781,N,Drexel,34,40,74,1.5,131.5,-105,70.5,,,,
308,782,N,Northeastern,29,38,67,130.5,1,-115,1.5,,,,
308,783,N,WiscMilwaukee,30,35,65,140.5,142.5,170,74,,,,
308,784,N,ClevelandState,24,47,71,3.5,4.5,-190,4,,,,
308,785,N,NorthernKentucky,26,32,58,1,2,-125,2,,,,
308,786,N,Oakland,31,38,69,147.5,147.5,105,75.5,,,,
308,787,N,OralRoberts,43,47,90,162.5,162,160,86,,,,
308,788,N,SouthDakotaState,34,54,88,4.5,4.5,-180,4.5,,,,
308,789,N,NorthDakotaState,32,47,79,1.5,3,-150,3.5,,,,
308,790,N,SouthDakota,40,35,75,141,138.5,130,75.5,,,,
308,791,N,Rider,36,42,78,148,147.5,230,79.5,,,,
308,792,N,Canisius,42,34,76,7.5,6,-270,2,,,,
308,793,N,AppalachianSt,35,45,80,139.5,136.5,270,73,,,,
308,794,N,GeorgiaState,37,36,73,5,7,-330,4,,,,
308,795,N,Mercer,32,29,61,139.5,136.5,195,72.5,,,,
308,796,N,NCGreensboro,33,36,69,3.5,5,-230,3.5,,,,
308,797,N,SaintMarysCA,26,29,55,141,142,1200,75,,,,
308,798,N,Gonzaga,44,34,78,18,18.5,-3000,6.5,,,,
308,799,N,Pepperdine,35,37,77,148.5,149,320,78.5,,,,
308,800,N,BYU,35,37,82,10,8,-380,5.5,,,,
309,807,N,MiamiFlorida,40,39,79,137,135,145,73.5,,,,
309,808,N,Pittsburgh,36,37,73,4.5,3.5,-165,3,,,,
309,809,N,BostonCollege,27,24,51,153.5,152,600,78,,,,
309,810,N,Duke,41,45,86,11,13,-900,4.5,,,,
309,811,N,WakeForest,44,33,77,142,141,360,77,,,,
309,812,N,NotreDame,37,43,80,8.5,9,-430,8.5,,,,
309,813,N,Iona,25,47,72,4,7,-300,3,,,,
309,814,N,Quinnipiac,20,28,48,140.5,144.5,250,73.5,,,,
309,815,N,Manhattan,25,25,58,1,3,-150,65,,,,
309,816,N,Fairfield,16,34,59,127.5,125.5,130,0.5,,,,
309,817,N,LongBeachState,46,39,85,155.5,153.5,120,81.5,,,,
309,818,N,CSNorthridge,26,37,63,pk,2.5,-140,5.5,,,,
309,819,N,CalPolySLO,36,51,87,140.5,139.5,220,74.5,,,,
309,820,N,CSFullerton,32,50,82,5.5,5.5,-260,5.5,,,,
309,821,N,Elon,27,29,56,129.5,130,145,69.5,,,,
309,822,N,Drexel,32,31,63,3,3.5,-165,0.5,,,,
309,823,N,Oakland,28,41,69,138,141.5,125,2,,,,
309,824,N,ClevelandState,40,40,80,2,2.5,-145,75.5,,,,
309,825,N,SouthernMiss,20,32,52,140.5,143.5,160,0.5,,,,
309,826,N,Rice,27,34,61,2.5,4,-180,74,,,,
309,829,N,OralRoberts,45,30,75,146,145.5,100,77,,,,
309,830,N,NorthDakotaState,20,52,72,1,1,-120,5,,,,
309,831,N,BYU,53,25,78,155,157.5,750,85,,,,
309,832,N,Gonzaga,41,47,88,13,14,-1200,12,,,,
309,307013,N,McNeeseState,31,37,68,1,1.5,-125,1,,,,
309,307014,N,SELouisiana,31,40,71,146.5,146,105,77.5,,,,
309,307015,N,HoustonBaptist,34,46,80,143,2,-110,76,,,,
309,307016,N,IncarnateWord,31,37,68,pk,144,-110,1.5,,,,
309,307017,V,MountStMarys,34,39,73,131,134,210,71.5,,,,
309,307018,H,Bryant,29,39,68,4.5,6.5,-250,6,,,,
