Date,Rot,VH,Team,1st,2nd,Final,Open,Close,ML,2H
227,592,H,IndianaState,37,40,77,12.5,13,-1200,5.5
227,593,V,Massachusetts,45,38,83,149.5,151,390,82.5
227,594,H,St.Bonaventure,35,50,85,10.5,9,-480,8.5
227,595,V,Northeastern,27,34,61,4.5,4,-180,4
227,596,H,Drexel,34,25,59,130.5,130.5,160,70.5
227,597,V,TexasA&M,50,34,84,9.5,9.5,-550,2
227,598,H,Missouri,33,36,69,138.5,140,425,77
227,599,V,Maryland,39,40,79,137.5,136.5,175,76.5
227,600,H,Purdue,44,39,83,3.5,4.5,-200,0.5
227,601,V,UCLA,33,37,70,140,1,-120,2
227,602,H,Stanford,34,45,79,1,142,100,76
227,603,V,WesternMichigan,19,48,67,140,140,175,2.5
227,604,H,NoIllinois,38,38,76,6,4.5,-200,73
227,605,V,ULLafayette,32,38,70,7.5,11,-600,5
227,606,H,SouthAlabama,26,57,83,145,148,450,78
227,607,V,Auburn,29,28,57,136,137.5,500,72.5
227,608,H,Alabama,31,34,65,10,11,-700,6.5
227,609,V,ULMonroe,32,34,66,4,4,-170,0.5
227,610,H,Troy,24,27,51,138,139,150,73
227,611,V,NotreDame,30,26,56,1,2.5,-145,6
227,612,H,FloridaState,46,31,77,156,152,125,81.5
227,613,V,Marshall,34,40,74,164,163.5,135,3
227,614,H,MiddleTennSt,49,34,83,2.5,3,-155,87
227,615,V,Cornell,34,26,60,155,154,1800,81
227,616,H,Princeton,37,37,74,18,17.5,-8000,9.5
227,617,V,Harvard,28,33,61,2,1.5,-125,74
227,618,H,Brown,21,31,52,144.5,144,105,1
227,619,V,Richmond,42,41,83,162.5,1,-115,84
227,620,H,Duquesne,32,35,67,1,157,-105,2.5
227,621,V,WestVirginia,33,37,70,6.5,8,-350,4
227,622,H,OklahomaState,29,27,56,135.5,134,290,71.5
227,623,V,BoiseState,30,36,66,132.5,132.5,250,71
227,624,H,SanDiegoState,28,35,63,7.5,6.5,-300,5
227,625,V,Rice,26,43,69,161.5,155.5,300,80
227,626,H,LouisianaTech,41,47,88,9.5,7.5,-360,0.5
227,627,V,UTEP,47,31,78,161.5,161,220,87
227,628,H,CharlotteU,40,48,88,4.5,6,-260,5.5
227,629,V,NorthernKentucky,27,48,75,2.5,3.5,-160,5.5
227,630,H,YoungstownState,46,48,94,152,152.5,140,80.5
227,631,V,Columbia,47,46,93,5,6,-260,0.5
227,632,H,Pennsylvania,36,29,65,140,140.5,220,76.5
227,633,V,CentralMichigan,34,42,76,153.5,152,260,80
227,634,H,Toledo,32,42,74,5.5,7,-310,5.5
227,635,V,CalRiverside,25,30,55,142,141,475,73.5
227,636,H,LongBeachState,31,35,66,11.5,10.5,-650,4.5
227,637,V,TexasState,21,47,68,115.5,119.5,700,65
227,638,H,ArkansasLR,35,38,73,14,13,-1100,3.5
227,639,V,Arkansas,34,41,75,155,155.5,110,81
227,640,H,Tennessee,33,32,65,1,2,-130,2
227,641,V,TexSanAntonio,30,26,56,140,140,1600,75
227,642,H,OldDominion,42,36,78,16.5,16,-6000,6
227,643,V,NorthTexas,30,40,70,132,134.5,105,0.5
227,644,H,SouthernMiss,35,46,81,1.5,1.5,-125,72.5
227,645,V,Florida,29,62,91,150,147,105,2.5
227,646,H,LSU,40,56,96,2,1.5,-125,78
227,647,V,Dartmouth,27,36,71,135,135,1000,72
227,648,H,Yale,31,32,76,16,15,-2000,7.5
227,649,V,Baylor,42,44,86,8.5,9,-450,3
227,650,H,TCU,31,40,71,140.5,142.5,375,75.5
227,651,V,IllinoisState,28,30,58,129,131.5,1600,72.5
227,652,H,WichitaState,46,28,74,16,16.5,-6000,5.5
227,653,V,UTArlington,39,40,79,7,7.5,-340,2
227,654,H,ArkansasState,29,46,75,155.5,155.5,280,81
227,655,V,CalIrvine,32,30,62,8,9,-450,2
227,656,H,UCDavis,20,41,61,122,125,375,67
227,657,V,CalSantaBarb,41,39,80,6,4.5,-210,75.5
227,658,H,CSFullerton,30,32,62,141,141,180,0.5
227,659,V,Pacific,30,35,65,137,137,100,72
227,660,H,SantaClara,25,44,69,2,1,-120,2
227,661,V,PortlandU,35,41,76,1,3,-155,3
227,662,H,SanDiego,40,45,85,143.5,142.5,135,78.5
227,663,V,FresnoState,41,51,92,147.5,147.5,265,79.5
227,664,H,NewMexico,43,39,82,6.5,6.5,-320,3.5
227,665,V,Arizona,29,35,64,145,144.5,155,1.5
227,666,H,UtahU,40,30,70,3,3.5,-175,77.5
227,667,V,SanJoseState,36,34,70,142,140,525,77
227,668,H,UtahState,43,45,88,10.5,11,-750,4.5
227,669,V,Wyoming,33,41,74,144.5,144.5,330,78
227,670,H,UNLV,37,42,79,9.5,8,-400,4
