0,Cal Poly,76,Seattle,60,20101114
0,Cal State Bakersfield,80,Sacramento State,78,20101114
0,UCSB,70,Oregon,72,20101114
0,Chicago State,81,DePaul,114,20101114
0,Colorado-Colorado Springs,53,Air Force,66,20101114
0,Cornell,68,Seton Hall,92,20101114
0,Eastern Illinois,46,Ball State,77,20101114
0,Eastern Kentucky,64,Indiana State,59,20101114
0,Florida Atlantic,75,Portland,89,20101114
0,Florida State,97,UNC Greensboro,73,20101114
0,Grambling,57,Rice,86,20101114
0,Idaho State,42,Arizona,90,20101114
0,Kent State,66,Cleveland State,69,20101114
0,La Sierra,62,Loyola Marymount,100,20101114
0,Lafayette,73,Rider,80,20101114
0,Liberty,51,Notre Dame,72,20101114
0,Maine,59,Maryland,89,20101114
0,Mercer,74,UTEP,87,20101114
0,Methodist,74,Radford,83,20101114
0,Milwaukee,73,UC-Davis,62,20101114
0,Montana State,65,Central Michigan,58,20101114
0,Mount Ida College,43,Stony Brook,80,20101114
0,North Carolina A&T,61,Morehead State,84,20101114
0,North Dakota State,65,Denver,54,20101114
0,Northern Arizona,70,Creighton,74,20101114
0,Prairie View,55,Wisconsin,99,20101114
0,South Dakota State,79,Iowa,69,20101114
0,SIU-Edwardsville,64,Illinois State,92,20101114
0,Texas-Arlington,56,Oregon State,71,20101114
0,Texas-Rio Grande Valley,57,Loyola (IL),79,20101114
0,VMI,94,UMBC,77,20101114
0,Western Illinois,59,Savannah State,52,20101114
0,Wright State,44,Indiana,67,20101114
0,Valparaiso,44,Kansas,79,20101115
0,Miami (FL),68,Memphis,72,20101115
0,Tulane,53,Georgetown,69,20101115
0,Alabama A&M,61,Western Kentucky,83,20101115
0,American,57,Albany (NY),44,20101115
0,Arkansas-Pine Bluff,40,Nebraska,83,20101115
0,Austin Peay,70,Chattanooga,67,20101115
0,Barry,54,Florida International,69,20101115
0,California Baptist,79,Southern Utah,69,20101115
0,Campbell,63,East Carolina,76,20101115
0,Carver College,83,Georgia Southern,91,20101115
0,Centenary (LA),56,UT-Martin,79,20101115
0,Central Connecticut,101,Army,87,20101115
0,Colgate,66,Saint Francis (PA),69,20101115
0,TCNJ,68,Elon,99,20101115
0,ETSU,39,Murray State,50,20101115
0,Fairfield,53,Rutgers,68,20101115
0,Fisk,50,Tennessee State,85,20101115
0,Georgia Tech,63,Kennesaw State,80,20101115
0,Glenville State,48,Marshall,93,20101115
0,Hampton,56,Wake Forest,63,20101115
0,High Point,57,Old Dominion,79,20101115
0,Houston Baptist,78,Northwestern State,87,20101115
0,Jackson State,39,UCF,80,20101115
0,Longwood,54,Stephen F. Austin,80,20101115
0,Louisiana College,66,Louisiana,91,20101115
0,Maryland-Eastern Shore,74,Columbia,108,20101115
0,Montana State,80,Cal State Fullerton,76,20101115
0,Mount St. Mary's,59,Cincinnati,69,20101115
0,North Carolina Central,63,Oklahoma,71,20101115
0,Northwest Oklahoma State,68,Sam Houston State,90,20101115
0,NYU-Poly,49,NJIT,96,20101115
0,Oakland,78,Ohio,66,20101115
0,Ohio Dominican,55,Bowling Green State,81,20101115
0,Pacific,64,Nevada,53,20101115
0,Pepperdine,69,UCLA,79,20101115
0,Pomona-Pitzer,48,UC-Riverside,81,20101115
0,Rockhurst,45,Saint Louis,72,20101115
0,Roosevelt,54,UIC,94,20101115
0,Sacred Heart,51,Fordham,69,20101115
0,San Diego,48,Stanford,64,20101115
0,San Francisco State,65,Long Beach State,82,20101115
0,Santa Clara,73,USC,86,20101115
0,Siena,69,Minnesota,76,20101115
0,USC Upstate,54,Virginia,74,20101115
0,Southeastern,61,Florida A&M,88,20101115
0,St. Francis (NY),71,South Florida,74,20101115
0,Stillman,78,Lipscomb,103,20101115
0,Tennessee Wesleyan,54,Samford,57,20101115
0,Texas A&M,86,Texas A&M-Corpus Christi,65,20101115
0,Troy,60,Alabama,79,20101115
0,Urbana,49,Cleveland State,83,20101115
0,Wagner,57,Lehigh,73,20101115
0,Western New Mexico,62,New Mexico State,95,20101115
0,William & Mary,49,Richmond,73,20101115
0,Winthrop,54,VCU,67,20101115
0,Wofford,70,Clemson,78,20101115
0,Yale,55,Providence,58,20101115
0,Miami (OH),45,Duke,79,20101116
0,South Carolina,73,Michigan State,82,20101116
0,Virginia Tech,57,Kansas State,73,20101116
0,Ohio State,93,Florida,75,20101116
0,Marist,47,Villanova,84,20101116
0,Detroit,55,Syracuse,66,20101116
0,San Diego State,79,Gonzaga,76,20101116
0,Butler,73,Louisville,88,20101116
0,Eastern Washington,72,Washington,98,20101116
0,La Salle,64,Baylor,74,20101116
0,Belmont,76,Tennessee,85,20101116
0,Akron,68,Dayton,76,20101116
0,Alabama State,46,Northern Arizona,74,20101116
0,Anderson (SC),83,South Carolina State,94,20101116
0,Arizona State,62,New Mexico,76,20101116
0,Arkansas State,71,Missouri State,80,20101116
0,Arlington Baptist,58,Prairie View,82,20101116
0,Bethany (CA),55,Sacramento State,84,20101116
0,Boston University,76,George Washington,67,20101116
0,Brown,67,Rhode Island,92,20101116
0,Buffalo,53,Youngstown State,64,20101116
0,Cal State Northridge,63,California,80,20101116
0,Central Michigan,62,Hawaii,65,20101116
0,Citadel,61,Charleston Southern,68,20101116
0,Coastal Carolina,67,College of Charleston,83,20101116
0,Coe,45,Northern Iowa,84,20101116
0,Colorado,74,Georgia,83,20101116
