0,Iowa State,69,TCU,67,20230107,+5.5
0,UNCW,66,North Carolina A&T,61,20230107,-5.5
0,Hartford,71,Sacred Heart,78,20230107,+12.5
0,Charleston Southern,67,Presbyterian,61,20230107,+2.5
0,VMI,78,Chattanooga,85,20230107,+16.5
0,Central Connecticut State,49,Stonehill,51,20230107,+3.5
0,Southern Illinois,57,Northern Iowa,69,20230107,-1.5
0,Radford,63,Gardner-Webb,59,20230107,+4.5
0,UIC,60,Indiana State,80,20230107,+13.5
0,Campbell,55,UNC Asheville,58,20230107,+4.5
0,Illinois State,69,Evansville,61,20230107,-2.5
0,Central Michigan,56,Eastern Michigan,62,20230107,+1.5
0,Michigan,53,Michigan State,59,20230107,+4.5
0,Green Bay,77,Cleveland State,82,20230107,+12.5
0,Denver,74,Western Illinois,91,20230107,+3.5
0,Texas State,64,South Alabama,58,20230107,+5.5
0,Old Dominion,81,Georgia Southern,75,20230107,+1.5
0,Southern Miss,65,Louisiana-Monroe,60,20230107,-6.5
0,Eastern Illinois,59,Morehead State,69,20230107,+8.5
0,Valparaiso,66,Bradley,88,20230107,+16.5
0,St. Francis Brooklyn,53,Merrimack College,65,20230107,+4.5
0,UTEP,58,Louisiana Tech,60,20230107,+6.5
0,Wake Forest,80,Louisville,72,20230107,-8.5
0,Seattle,76,UT Arlington,61,20230107,-3.5
0,High Point,57,USC Upstate,76,20230107,+0.5
0,Grand Canyon,68,Stephen F. Austin,73,20230107,+2.5
0,Coastal Carolina,66,Marshall,81,20230107,+12.5
0,Tennessee,85,South Carolina,42,20230107,-16.5
0,Kent State,69,Miami (OH,66,20230107,-11.5
0,Delaware State,64,Howard,84,20230107,+12.5
0,Winthrop,71,Longwood,85,20230107,+9.5
0,Furman,70,East Tennessee State,56,20230107,-7.5
0,Mercer,45,Western Carolina,73,20230107,+0.5
0,Samford,70,UNCG,68,20230107,+4.5
0,Saint Francis U,68,Wagner,63,20230107,+5.5
0,UC Santa Barbara,62,Cal Poly,57,20230107,-7.5
0,South Carolina State,73,Coppin State,85,20230107,+7.5
0,St. Bonaventure,55,Saint Louis,78,20230107,+8.5
0,Nevada,67,San Jose State,40,20230107,-1.5
0,Clemson,75,Pittsburgh,74,20230107,+2.5
0,Northeastern,79,Hampton,63,20230107,-6.5
0,Western Kentucky,74,UTSA,64,20230107,-7.5
0,Texas Southern,66,UAPB,70,20230107,-5.5
0,North Carolina Central,73,Morgan State,78,20230107,+1.5
0,Montana State,69,Northern Arizona,54,20230107,-6.5
0,Maryland Eastern Shore,46,Norfolk State,57,20230107,+8.5
0,San Diego State,80,Wyoming,75,20230107,-8.5
0,Xavier,88,Villanova,80,20230107,+2.5
0,Tennessee Tech,84,UT Martin,80,20230107,+5.5
0,Fresno State,57,Colorado State,79,20230107,+6.5
0,Nicholls,48,Northwestern State,68,20230107,+1.5
0,Tennessee State,60,Lindenwood,57,20230107,-3.5
0,Texas A&M-Commerce,82,McNeese State,80,20230107,+2.5
0,Southeast Missouri State,74,Little Rock,68,20230107,-1.5
0,Lamar,84,Southeastern Louisiana,89,20230107,+13.5
